game_id,date,home_team,away_team,home_name,away_name,model_home_win_prob,model_away_win_prob,avg_total_runs,std_total_runs,actual_home_win,actual_home_score,actual_away_score,sim_home_prob,elo_home_prob,home_real_profiles,away_real_profiles,home_starter_id,away_starter_id,year,total_line,model_over_prob,model_under_prob,market_over_nv_prob,market_under_nv_prob,best_over_odds,best_under_odds,best_over_book,best_under_book,over_edge,under_edge,totals_bet_side,totals_bet_odds,totals_bet_edge,totals_bet_fraction,totals_bet_stake,totals_bet_profit,totals_bet_won,confidence,market_home_nv_prob,market_away_nv_prob,best_home_odds,best_away_odds,best_home_book,best_away_book,pinnacle_home,pinnacle_away,vig,home_edge,away_edge,home_ev,away_ev,bet_side,bet_odds,bet_edge,bet_fraction,bet_stake,bet_profit,bet_won
634642,2021-04-01,NYY,TOR,New York Yankees,Toronto Blue Jays,0.553,0.44699999999999995,10.568,4.761236814106184,False,2,3,0.553,,9,9,543037,547943,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634645,2021-04-01,DET,Cleveland Indians,Detroit Tigers,Cleveland Indians,0.42800000000000005,0.572,9.539,4.58110019536792,True,3,2,0.42800000000000005,,9,9,571510,669456,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634638,2021-04-01,MIL,MIN,Milwaukee Brewers,Minnesota Twins,0.616,0.384,8.652,4.548504809275241,True,6,5,0.616,,9,8,605540,628317,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634634,2021-04-01,CHC,PIT,Chicago Cubs,Pittsburgh Pirates,0.537,0.46299999999999997,10.89,5.087622234403809,False,3,5,0.537,,9,8,543294,641771,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634622,2021-04-01,PHI,ATL,Philadelphia Phillies,Atlanta Braves,0.497,0.503,9.979,4.864006476147004,True,3,2,0.497,,8,9,605400,608331,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634615,2021-04-01,COL,LAD,Colorado Rockies,Los Angeles Dodgers,0.393,0.607,12.194,5.590739128236981,True,8,5,0.393,,9,8,608566,477132,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634618,2021-04-01,SDP,ARI,San Diego Padres,Arizona Diamondbacks,0.5730000000000001,0.42699999999999994,9.085,4.135912837572862,True,8,7,0.5730000000000001,,9,9,506433,518516,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634636,2021-04-01,CIN,STL,Cincinnati Reds,St. Louis Cardinals,0.5730000000000001,0.42699999999999994,11.887,5.579984856610276,False,6,11,0.5730000000000001,,9,8,622491,656427,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634630,2021-04-01,KCR,TEX,Kansas City Royals,Texas Rangers,0.456,0.544,10.012,4.6015058404830915,True,14,10,0.456,,9,9,641745,502043,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634652,2021-04-01,MIA,TBR,Miami Marlins,Tampa Bay Rays,0.503,0.497,7.615,4.246030499183915,False,0,1,0.503,,9,8,645261,607192,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
